Time,x,y,z
1.7866285415223342e+18,-346408144.9105821,46204721925.68308,-679693930.4957515
1.7866285415273341e+18,-347237718.36544406,46355342295.60942,-681695160.6643662
1.786628541532334e+18,-348074741.4526897,46506207709.37056,-683698820.4652969
1.786628541537334e+18,-348919188.5249366,46657325906.56751,-685704956.6197709
1.7866285415423342e+18,-349770900.1987406,46808681403.99043,-687713311.9095628
1.7866285415473341e+18,-350629819.54958224,46960281942.17612,-689723921.8995438
1.786628541552334e+18,-351495835.4112387,47112127537.160774,-691736696.1618602
1.786628541557334e+18,-352368890.8976759,47264225979.8407,-693751641.7858552
1.7866285415623342e+18,-353248801.3314503,47416561687.347305,-695768469.9701707
1.7866285415673341e+18,-354135506.1070595,47569142450.296745,-697787217.1083053
1.786628541572334e+18,-355028877.94335353,47721968284.600784,-699807825.2434098
1.786628541577334e+18,-355928813.5170172,47875047032.00699,-701830343.7693471
1.7866285415823342e+18,-356835059.7648917,48028363010.48258,-703854512.5213567
1.7866285415873341e+18,-357747505.61357385,48181924061.75128,-705880382.505121
1.786628541592334e+18,-358666002.50925577,48335730201.832985,-707907905.3503402
1.786628541597334e+18,-359590441.4460925,48489789322.32272,-709937145.9699975
1.7866285416023342e+18,-360520539.07349455,48644085640.818405,-711967871.0183421
1.7866285416073341e+18,-361456113.85057986,48798627050.1429,-714000169.1411794
1.786628541612334e+18,-362396913.17852193,48953413567.89057,-716034022.9341922
1.786628541617334e+18,-363342731.3154968,49108453137.21844,-718069513.4649328
1.7866285416223342e+18,-364293225.0810858,49263729875.68095,-720106416.1272522
1.7866285416273341e+18,-365248198.7681509,49419251725.57682,-722144835.3977783
1.786628541632334e+18,-366207399.1891393,49575018703.29739,-724184783.3193492
1.786628541637334e+18,-367170608.16005325,49731038801.1339,-726226379.3428289
1.7866285416423342e+18,-368137445.92139506,49887296035.558174,-728269427.6527014
1.7866285416473341e+18,-369107668.7177048,50043798398.63494,-730314044.149139
1.786628541652334e+18,-370080977.778087,50200545906.20205,-732360240.5459558
1.786628541657334e+18,-371057125.4112627,50357546599.8553,-734408136.2327296
1.7866285416623342e+18,-372035710.81421775,50514784394.476456,-736457540.5472982
1.7866285416673341e+18,-373016473.72423655,50672267330.99971,-738508579.8256993
1.786628541672334e+18,-373999098.8062312,50829995423.8688,-740561273.1361536
1.786628541677334e+18,-374983321.01512957,50987976763.503845,-742615741.5442066
1.7866285416823342e+18,-375968726.44118243,51146195162.94136,-744671788.8706108
1.7866285416873341e+18,-376955070.3421693,51304658711.74318,-746729534.6741911
1.786628541692334e+18,-377942124.7864439,51463367422.55927,-748788999.1944296
1.786628541697334e+18,-378929814.01098764,51622329434.03939,-750850323.0229373
1.7866285417023342e+18,-379917964.3544814,51781528456.9016,-752913347.7958959
1.7866285417073341e+18,-380906539.45653105,51940972629.438034,-754978234.7537966
1.786628541712334e+18,-381895418.2885439,52100661963.47017,-757045025.9672946
1.786628541717334e+18,-382884500.80378443,52260604647.65362,-759113856.0341779
1.7866285417223342e+18,-383873511.7490777,52420784292.343094,-761184539.7915385
1.7866285417273341e+18,-384862313.8434852,52581209085.93792,-763257216.3632408
1.786628541732334e+18,-385850712.4918159,52741879039.84229,-765331925.0933104
1.786628541737334e+18,-386838560.541241,52902802392.24063,-767408815.5456628
1.7866285417423342e+18,-387825565.163321,53063962652.29633,-769487723.4014401
1.7866285417473341e+18,-388811602.82499987,53225368057.85407,-771568811.7576661
1.786628541752334e+18,-389796518.7816497,53387018619.61455,-773652147.6844144
1.786628541757334e+18,-390780219.19226015,53548922625.355774,-775737911.7458769
1.7866285417623342e+18,-391762455.4284478,53711063483.266075,-777825963.2731978
1.7866285417673341e+18,-392743113.62106395,53873449480.86121,-779916473.9882865
1.786628541772334e+18,-393722009.0297968,54036080628.2813,-782009499.5651222
1.786628541777334e+18,-394698993.7895041,54198965262.86691,-784105198.9190079
1.7866285417823342e+18,-395673766.16702604,54362086691.66702,-786203408.8919598
1.7866285417873341e+18,-396646171.5555557,54525453251.61093,-788304287.3439194
1.786628541792334e+18,-397616006.71844804,54689064952.09328,-790407881.8444203
1.786628541797334e+18,-398583132.5016784,54852930180.15841,-792514344.1195896
1.7866285418023342e+18,-399547280.5596121,55017032142.26805,-794623498.7487724
1.7866285418073341e+18,-400508343.9144021,55181379225.716896,-796735485.5712192
1.786628541812334e+18,-401466172.84245783,55345971440.3223,-798850324.2241722
1.786628541817334e+18,-402420670.13450474,55510817223.73048,-800968136.943603
1.7866285418223342e+18,-403371594.279504,55675899682.25486,-803088717.9399215
1.7866285418273341e+18,-404318851.40404284,55841227253.55954,-805212177.8263888
1.786628541832334e+18,-405262298.55183315,56006799947.5151,-807338510.06832
1.786628541837334e+18,-406201842.8134334,56172626251.99829,-809467812.4407046
1.7866285418423342e+18,-407137253.6112375,56338689173.016846,-811599854.7462786
1.7866285418473341e+18,-408068461.0686996,56504997198.632286,-813734740.5289423
1.786628541852334e+18,-408995377.39032733,56671550339.2274,-815872475.5004023
1.786628541857334e+18,-409917996.3058044,56838357133.897354,-818013180.897712
1.7866285418623342e+18,-410836193.396634,57005400489.69422,-820156644.6051656
1.7866285418673341e+18,-411749996.44317305,57172688946.47013,-822302974.6322253
1.786628541872334e+18,-412659386.50103986,57340222515.96669,-824452162.2950838
1.786628541877334e+18,-413564377.6538319,57508009788.13918,-826604304.4993995
1.7866285418823342e+18,-414464824.7034202,57676033569.35664,-828759175.6413463
1.7866285418873341e+18,-415360719.6546343,57844302448.76969,-830916905.1243885
1.786628541892334e+18,-416252037.2929284,58012816437.41648,-833077532.9945666
1.786628541897334e+18,-417138835.9774181,58181584175.670746,-835241207.5282904
1.7866285419023342e+18,-418021053.79765886,58350588370.679985,-837407728.1617101
1.7866285419073341e+18,-418898753.2287867,58519837663.187485,-839577217.3824054
1.786628541912334e+18,-419771941.3724377,58689332065.15523,-841749687.8226012
1.786628541917334e+18,-420640689.0337257,58859080267.67931,-843925264.41909
1.7866285419223342e+18,-421504967.34237945,59029064878.22077,-846103732.3661358
1.7866285419273341e+18,-422364907.1371945,59199294589.13931,-848285199.3964294
1.786628541932334e+18,-423220610.92191696,59369769414.41172,-850469648.9411634
1.786628541937334e+18,-424072224.12837255,59540498096.9957,-852657173.1483923
1.7866285419423342e+18,-424919750.26223445,59711463144.64009,-854847535.0553167
1.7866285419473341e+18,-425763332.97084403,59882673300.040344,-857040838.5118629
1.786628541952334e+18,-426603115.5690974,60054128577.4776,-859237078.3165672
